id,std,per_change,start,percent
2800.HK,73.9726650603141,0.03674211161385199,0.03674211161385199
AGG,1558.106856385433,0.022316101754320528,0.022316101754320528
DBA,318.90863438517334,-0.03235630217485208,-0.03235630217485208
GLD,1134.1678301437787,0.030134619058216128,0.030134619058216128
HYG,1163.2272258981914,0.00904272354708291,0.00904272354708291
SLV,404.35000903110057,0.00028951347383388004,0.00028951347383388004
SO,1037.439047167364,0.050057223696597486,0.050057223696597486
SPY,7983.5133147593615,0.11142939403723529,0.11142939403723529
SX5S.L,7983.5133147593615,0.11142939403723529,0.11142939403723529
TIP,1566.9077615765757,0.024704449948153906,0.024704449948153906
TLT,2495.2912493164645,0.05367649007958186,0.05367649007958186
VT,1742.7873275986074,0.06376257663574703,0.06376257663574703
